,index,id,name,overview,genres,created_by,popularity,type
55,55,57911,Doraemon,Doraemon is an anime TV series created by Fujiko F. Fujio and based on the manga series of the same name. This anime is the much more successful successor of the 1973 anime.,"['Action & Adventure', 'Animation', 'Comedy', 'Sci-Fi & Fantasy', 'Kids', 'Family']",['unknown'],98.1634,Scripted
56,56,63174,Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.","['Crime', 'Sci-Fi & Fantasy']",['Tom Kapinos'],95.2943,Scripted
57,57,33238,Running Man,"These days, as variety shows are gradually disappearing, this is one of Korea’s representative variety shows that has been responsible for Sunday evenings for over 10 years. This program features numerous stars and members going around various places, playing games, and completing missions. In particular, among the many fun elements of variety shows, this one focuses solely on laughter.

Open your eyes! Big fun is coming in!

Open your mouth! Big laughter is coming in!

Open your heart! Useful lessons are coming in!","['Comedy', 'Reality']","['Jo Hyo-jin', 'Kim Joo-hyung', 'Lim Hyung-taek']",94.7864,Reality
58,58,16656,Fuse,"Fitil is a popular Soviet/Russian television satirical/comedy short film series which ran for about 500 episodes. Some of the episodes were aimed at children, and were called Фитилёк, Fitilyok, Little Fuse. Each issue contained from the few short segments: documentary, fictional and animated ones. Directed by various artists, including Leonid Gaidai who presented his famous trio of Nikulin, Vitsin and Morgunov into the cast. It was called in USSR as ""the anecdotes from the Soviet government"".","['Comedy', 'Documentary', 'Animation', 'Family']",['Sergey Mikhalkov'],93.5633,Scripted
59,59,61818,Late Night with Seth Meyers,"Seth Meyers, who is ""Saturday Night Live's"" longest serving anchor on the show's wildly popular ""Weekend Update,"" takes over as host of NBC's ""Late Night"" — home to A-list celebrity guests, memorable comedy and the best in musical talent. As the Emmy Award-winning head writer for ""SNL,"" Meyers has established a reputation for sharp wit and perfectly timed comedy, and has gained fame for his spot-on jokes and satire. Meyers takes his departure from ""SNL"" to his new post at ""Late Night,"" as Jimmy Fallon moves to ""The Tonight Show"".","['Talk', 'Comedy']",['unknown'],92.8806,Talk Show
60,60,240459,Spartacus: House of Ashur,"In a world where he survived the events of Spartacus, Ashur clawed his way to power, owning the same ludus that once owned him. Allying with a fierce gladiatrix, Ashur ignites a new kind of spectacle that offends the elite.","['Drama', 'Action & Adventure']",['Steven S. DeKnight'],92.8774,Scripted
61,61,44217,Vikings,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.","['Action & Adventure', 'Drama', 'War & Politics']",['Michael Hirst'],92.4262,Scripted
62,62,63770,The Late Show with Stephen Colbert,"Stephen Colbert brings his signature satire and comedy to The Late Show with Stephen Colbert, the #1 show in late night, where he talks with an eclectic mix of guests about what is new and relevant in the worlds of politics, entertainment, business, music, technology, and more. Featuring bandleader Jon Batiste with his band Stay Human, the Emmy Award-nominated show is broadcast from the historic Ed Sullivan Theater.","['Comedy', 'Talk']","['Stephen Colbert', 'Jon Stewart', 'Chris Licht', 'Tom Purcell']",89.4491,Talk Show
63,63,60574,Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.","['Drama', 'Crime']",['Steven Knight'],89.3316,Scripted
64,64,209867,Frieren: Beyond Journey's End,"Decades after her party defeated the Demon King, an old friend's funeral launches the elf wizard Frieren on a journey of self-discovery.","['Animation', 'Action & Adventure', 'Drama', 'Sci-Fi & Fantasy']","['Kanehito Yamada', 'Keiichiro Saito', 'Tsukasa Abe']",88.3175,Scripted
65,65,30984,Bleach,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.","['Action & Adventure', 'Animation', 'Sci-Fi & Fantasy']",['unknown'],88.1811,Scripted
66,66,6836,Kangsi Coming,"KangXi Lai Le is a Taiwanese variety-comedy talk show hosted by variety show veterans Dee Hsu and Kevin Tsai. It was produced by Chungta Production from 2004 to 2009, and currently produced by Gold Star Production along with the writing and production staff of GUESS. It was first broadcast on 5 January 2004 and currently airs Monday to Friday at 22:00-23:00 on cable TV CTi Variety. In most episodes, the hosts interview a panel of celebrities in various and controversial topics while employing their signature comedic bantering. It is broadcast in Hong Kong on ATV Home under the name of Variety Show of Mr Con and Ms Csi.

Although it is broadcast in Taiwan, the show is very successful and popular among Chinese speaking audiences across the world who watch uploaded re-runs over the internet or through bootleg DVDs. The show has been mentioned in other Taiwanese variety and talk shows, mainly from presenters who appeared on the show.","['Talk', 'Reality']",['Zhan Ren Xiong'],87.9184,Talk Show
67,67,60622,Fargo,"A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.","['Crime', 'Drama']",['Noah Hawley'],87.2587,Scripted
68,68,57775,Chibi Maruko-chan,"Meet Maruko, a sweet schoolgirl with a hefty dose of curiosity (and occasional laziness!). She sails through life in a cozy town alongside her loving parents, grandparents, and sister. Maruko has a band of loyal friends, including her closest pal, Tama-chan, but her playful and doting grandpa is at the heart of it all. Life is never dull in this charming series.","['Animation', 'Comedy']",['unknown'],86.9792,Scripted
69,69,57532,PAW Patrol,"Marshall, Rocky, Rubble, Zuma and Skye are doing their best to protect the people of their town. Led by Ryder, a tech-savvy 10-year-old boy, each of them is equipped with special equipment and together they help anyone who finds themselves in trouble. No task is too big for them and no puppy is too small.","['Animation', 'Kids']",['Keith Chapman'],86.9629,Scripted
70,70,70672,Men on a Mission,"Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick.","['Reality', 'Comedy']",['unknown'],85.8824,Reality
71,71,1407,Homeland,"CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable. With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn.","['Drama', 'War & Politics', 'Crime']","['Howard Gordon', 'Alex Gansa']",85.8026,Scripted
72,72,60625,Rick and Morty,Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,"['Animation', 'Comedy', 'Sci-Fi & Fantasy', 'Action & Adventure']","['Dan Harmon', 'Justin Roiland']",85.7436,Scripted
73,73,37680,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",['Drama'],['Aaron Korsh'],85.7,Scripted
74,74,206559,Binnelanders,"A South African Afrikaans soap opera. It is set in and around the fictional private hospital, Binneland Kliniek, in Pretoria, and the storyline follows the trials, trauma and tribulations of the staff and patients of the hospital.",['Soap'],"['Human Stark', 'Elsje Stark']",85.5007,Scripted
75,75,73586,Yellowstone,"Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States. Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.","['Western', 'Drama']","['Taylor Sheridan', 'John Linson']",84.7726,Scripted
76,76,2691,Two and a Half Men,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,['Comedy'],"['Lee Aronsohn', 'Chuck Lorre']",84.0479,Scripted
77,77,124364,FROM,"Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.","['Mystery', 'Drama', 'Sci-Fi & Fantasy']",['John Griffin'],84.0011,Scripted
78,78,6732,Pleasant Goat and Big Big Wolf,"Pleasant Goat and Big Big Wolf is a Chinese animated television series which was created by Huang Weiming, Lin Yuting and Luo Yinggeng, and produced by Creative Power Entertaining. The show is about a group of goats living on the Green Pasture, Qing Qing Grasslands/Plains, and the story revolving around a clumsy wolf who wants to eat them.  Toon Express Group owns the copyrights of the characters.","['Animation', 'Kids', 'Action & Adventure', 'Comedy', 'Sci-Fi & Fantasy']",['Leo Huang'],83.9524,Scripted
79,79,60059,Better Call Saul,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".","['Crime', 'Drama']","['Vince Gilligan', 'Peter Gould']",83.5124,Scripted
80,80,106379,Fallout,"The story of haves and have-nots in a world in which there's almost nothing left to have. 200 years after the apocalypse, the gentle denizens of luxury fallout shelters are forced to return to the irradiated hellscape their ancestors left behind — and are shocked to discover an incredibly complex, gleefully weird, and highly violent universe waiting for them.","['Action & Adventure', 'Sci-Fi & Fantasy']","['Graham Wagner', 'Geneva Robertson-Dworet']",82.9675,Scripted
81,81,32415,Conan,A late night television talk show hosted by  Conan O'Brien.,"['Talk', 'Comedy', 'News']","[""Conan O'Brien""]",81.2573,Talk Show
82,82,1400,Seinfeld,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,['Comedy'],"['Jerry Seinfeld', 'Larry David']",80.9339,Scripted
83,83,44006,Chicago Fire,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",['Drama'],"['Derek Haas', 'Michael Brandt']",80.4004,Scripted
84,84,65334,Miraculous: Tales of Ladybug & Cat Noir,"Marinette and Adrien, two Parisian teenagers, are entrusted with powerful jewels in order to transform into superheroes Ladybug and Cat Noir. But neither hero knows the other's true identity — or that they're classmates!","['Action & Adventure', 'Animation', 'Kids']","['Thomas Astruc', 'Jeremy Zag', 'Nathanaël Bronn']",80.0779,Scripted
